id,file,client_receipt_id,snapshot_url_1,handle_id,retailer_name,store_phone,purchase_date,purchase_time,purchase_total,num_items_with_total,summed_net_total,receipt_item_code,receipt_item_description,receipt_item_price,receipt_item_quantity,quantity_type,identified_product_upc,identified_product_description,identified_product_brand,product_category,essence_in_item,essence,match_ratio_to_item_tokens,product_confidence,product_retailer,type
"5243579","out_of_home2","OOHReceipt_20200126_121631","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_121631_1.jpg","2dd86c16-c2c1-43e1-a32a-c0a96484182f",,,"2020-01-26","12:01:57","15.40","3","15.40",,"Avocado Brot","8.50","1.000","unit","4058094310099","NOA BROTAUFSTRICH KICHERERBSEN AVOCADO 175GR BECHER","NOA","PFLANZLICHE BROTAUFSTRICHE PIK","brotaufstrich","brotaufstrich","1.00","0.950","GFK","Item"
"5243580","out_of_home2","OOHReceipt_20200126_121631","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_121631_1.jpg","2dd86c16-c2c1-43e1-a32a-c0a96484182f",,,"2020-01-26","12:01:57","15.40","3","15.40",,"Obstsalat","2.90","1.000","unit","4024344049149","JR FARM OBSTSALAT 200 GR","JR FARM","NAGERFUTTER","obstsalat","obstsalat","1.00","0.714","GFK","Item"
"5243581","out_of_home2","OOHReceipt_20200123_143026","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200123_143026_1.jpg","587fa0a0-839b-4435-876c-bd27db5fdcb2",,"016099213775","2020-01-23","13:59:00","2.80","1","2.80",,"Breze Feinsalz","0.70","4.000","unit","4388840215171","JA MINI BREZEL 250GR","JA","LAUGEN-/ COCKTAILGEBAECK","brezel","brezel","0.50","0.577","GFK","Item"
"5243582","out_of_home2","OOHReceipt_20200127_120528","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_120528_1.jpg","3e4fc800-53d8-490d-89c6-2572a443d0d1","MUELLER","49915180006",,,"4.77","5","4.77",,"RED BULL WHITE EDIT","1.29","1.000","unit","90433627","RED BULL THE WHITE EDITION KOKOS BLAUBEERE 0,25L DOSE EW","RED BULL","SPORTGETRAENKE FLUESSIG",,"kokos blaubeere","1.00","0.950","GFK","Item"
"5243583","out_of_home2","OOHReceipt_20200127_120528","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_120528_1.jpg","3e4fc800-53d8-490d-89c6-2572a443d0d1","MUELLER","49915180006",,,"4.77","5","4.77",,"PFAND-EINWEG RUECKN","0.25","1.000","unit",,,,,,,,,,"Item"
"5243584","out_of_home2","OOHReceipt_20200127_120528","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_120528_1.jpg","3e4fc800-53d8-490d-89c6-2572a443d0d1","MUELLER","49915180006",,,"4.77","5","4.77",,"COCA COLA DPG PET O","0.99","1.000","unit","5000112548068","COCA-COLA 0,5L EW PET FLASCHE","COCA-COLA","COLA / COLAHALT. ERFRISCH.GETR","cola","cola","0.75","0.950","GFK","Item"
"5243585","out_of_home2","OOHReceipt_20200127_120528","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_120528_1.jpg","3e4fc800-53d8-490d-89c6-2572a443d0d1","MUELLER","49915180006",,,"4.77","5","4.77",,"PFAND EINWEG RUECKN","0.25","1.000","unit",,,,,,,,,,"Item"
"5243586","out_of_home2","OOHReceipt_20200127_120528","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_120528_1.jpg","3e4fc800-53d8-490d-89c6-2572a443d0d1","MUELLER","49915180006",,,"4.77","5","4.77",,"MILKA CHOCO BROWNIE","1.99","1.000","unit","7622210688552","MILKA MINIS CHOCO BROWNIE 117G","MILKA","KLEINKUCHEN","brownie","brownie","1.00","0.950","GFK","Item"
"5243587","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Sweetys","0.30","1.000","unit",,,,,,,,,,"Item"
"5243588","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Ketchup","0.30","1.000","unit","4027400168228","HELA TOM.GEW.KETCHUP","HELA","KETCHUP","ketchup","ketchup","1.00","0.587","GFK","Item"
"5243589","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"BBQ-Sauce","1.50","1.000","unit",,"BBQ WEISS BURGER SAUCE 300ML FLASCHE","BBQ","WUERZSOSSEN / COCKTAILSAUCEN","sauce","sauce","1.00","0.913","GFK","Item"
"5243590","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Mädchenburger","8.90","1.000","unit",,,,,,,,,,"Item"
"5243591","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Fritten","3.80","1.000","unit",,"BACKOFEN#SUPER FRITTEN","FRISANA","TIEFKUEHLKOST (****)","fritten","fritten","1.00","0.594","GFK","Item"
"5243592","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Ketchup","0.30","1.000","unit","4027400168228","HELA TOM.GEW.KETCHUP","HELA","KETCHUP","ketchup","ketchup","1.00","0.587","GFK","Item"
"5243593","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Guacamole","1.90","1.000","unit",,"OFTERDINGER DIP GUACAMOLE SCHARF ODER MILD ODER KNOBLAUCH 150G SCHALE","OFTERDINGER","WUERZSOSSEN / COCKTAILSAUCEN","guacamole","guacamole","1.00","0.732","GFK","Item"
"5243594","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Mädchenburger","8.90","1.000","unit",,,,,,,,,,"Item"
"5243595","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Homestyle Fries","4.20","1.000","unit","4311596493951","EUCO FRIES COMPANY FRITTEUSEN FRIES 2500G G WELLENSCHNITT","EUCO","TIEFKUEHLKOST (****)",,,"0.50","0.358","GFK","Item"
"5243596","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Matterhorn","8.70","1.000","unit","7614800141004","KAMBLY MONT CHOCO  MATTERHORN 100G","KAMBLY","SUESSGEBAECK",,"choco  matterhorn","1.00","0.367","GFK","Item"
"5243597","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Fritten","3.80","1.000","unit",,"BACKOFEN#SUPER FRITTEN","FRISANA","TIEFKUEHLKOST (****)","fritten","fritten","1.00","0.594","GFK","Item"
"5243598","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Sour Cream","1.50","1.000","unit","5201360604548","7 DAYS BAKE ROLLS SOUR CREAM 250GR","7 DAYS","ZWIEBACK/BROTSNACKS","sour cream","sour cream","1.00","0.843","GFK","Item"
"5243599","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Onion Rings","4.50","1.000","unit","5712870884493","SNAXTERS ONION RINGS 125G","SNAXTERS","MAIS-KNABBERGEBAECK","onion rings","onion rings","1.00","0.698","GFK","Item"
"5243600","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Road Runner","6.00","1.000","unit",,"EXCELSIOR RUNNER 6X50G SOFT&CARAMEL","EXCELSIOR","SCHOKORIEGEL / NUSSRIEGEL","runner","runner","0.50","0.494","GFK","Item"
"5243601","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Schorle 0,41","3.90","2.000","unit","4015533032936","VOELKEL APFEL SCHORLE KLAR BIO 0,7L GLAS MW FL","VOELKEL","WASSER MIT ZUSATZ","schorle","schorle","1.00","0.742","GFK","Item"
"5243602","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Malibu Sunrise","6.00","1.000","unit",,"MALIBU","RESTLICHE MARKEN","TT MEGA IN/OUT","malibu","malibu","0.50","0.744","GFK","Item"
"5243603","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Jolly Jumper","6.00","1.000","unit","4311501371015","GUT&GUENSTIG KNUSPER-JUMPER STRACCIATELLA 6STK 510ML","GUT&GUENSTIG","SPEISEEIS","knusper-jumper","knusper-jumper","0.50","0.458","GFK","Item"
"5243604","out_of_home2","OOHReceipt_20200124_084740","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_084740_1.jpg","e226a90b-d4da-451e-b533-1bd4ac498095",,,"2020-01-21","22:08:37","115.50","21","102.90",,"Jack Sparrow","7.50","1.000","unit","4337185008610","CAPTAIN SPARROW WHITE RUM 37,5% 700ML GL FL","CAPTAIN SPARROW","RUM / RUMVERSCHNITT","sparrow","sparrow","0.50","0.609","GFK","Item"
